symbol,price,price_change,price_percent_change
SLNO,69.98,21.01,42.9
CNXC,62.96,17.28,37.83
WOOF,3.28,0.84,34.43
CRVO,10.0,2.29,29.72
BIYA,6.15,1.26,25.82
TNON,2.98,0.56,23.35
JFIN,14.89,2.79,23.06
EPSM,5.87,1.05,21.78
HTZ,4.16,0.7,20.43
CAR,73.89,12.34,20.05
MLGO,14.03,2.17,18.3
SMTK,3.55,0.49,16.07
LAZR,6.62,0.96,16.96
SATL,4.32,0.57,15.2
FORD,4.49,0.54,13.67
KUKE,2.76,0.32,13.11
TATT,29.25,3.35,12.93
YRD,7.46,0.79,11.77
EDAP,2.29,0.24,11.71
QNTM,7.76,0.81,11.65
ASPI,4.67,0.48,11.46
IBRX,3.1,0.32,11.33
MIST,2.24,0.23,11.19
NCTY,14.52,1.37,10.38
XYF,16.87,1.56,10.19
ZGN,7.8,0.72,10.17
DLTR,76.06,6.85,9.9
IBO,2.4,0.2,9.31
NVCT,9.56,0.81,9.26
HMR,3.45,0.29,9.18
NIU,4.74,0.4,9.1
LODE,2.62,0.22,9.08
RXST,26.57,2.2,9.03
MLKN,19.97,1.63,8.89
HYMC,3.54,0.28,8.59
RIVN,13.1,0.99,8.22
USAR,6.22,0.47,8.22
HCAI,7.6,0.57,8.17
UPC,5.24,0.39,8.04
IQ,2.42,0.18,8.04
PROP,5.79,0.43,8.02
DNTH,19.72,1.45,7.91
CING,4.46,0.32,7.73
BZFD,2.32,0.17,7.67
ZLAB,36.5,2.59,7.64
AAP,40.7,2.88,7.63
CCB,92.94,6.53,7.56
China,15.29,1.07,7.52
GRO,3.28,0.23,7.41
VTEX,5.22,0.36,7.41
PHH,11.38,0.78,7.31
IBIO,4.62,0.31,7.19
VSTM,6.86,0.46,7.19
ALUR,3.34,0.22,7.05
QSG,3.21,0.21,7.0
IMTX,4.84,0.32,6.95
VERO,3.51,0.23,6.93
DM,4.84,0.31,6.84
LXEO,4.26,0.27,6.77
CAAS,5.14,0.33,6.74
CDXS,3.01,0.19,6.74
JYD,6.58,0.4,6.47
EWTX,23.68,1.42,6.4
ACB,4.68,0.28,6.24
LX,11.52,0.68,6.23
ALMU,6.47,0.37,6.07
WGO,36.85,2.09,6.01
HAIN,4.14,0.23,6.01
GPUS,2.65,0.15,6.0
PRM,10.62,0.6,5.99
PESI,7.94,0.45,5.93
MTSR,29.78,1.67,5.92
LBRT,16.3,0.88,5.71
SNBR,6.53,0.35,5.66
IDR,14.04,0.74,5.56
CLMT,12.91,0.68,5.56
LANV,2.27,0.12,5.53
SEAT,3.02,0.15,5.42
YALA,5.78,0.29,5.37
PLUT,2.99,0.15,5.28
MREO,2.5,0.13,5.27
NUS,7.3,0.36,5.27
BIOX,4.61,0.23,5.25
TTI,3.72,0.18,5.24
DOYU,8.12,0.4,5.18
LSF,6.94,0.34,5.15
HPP,2.98,0.14,5.12
BILI,20.43,0.99,5.12
BCYC,9.18,0.45,5.1
GHRS,12.67,0.61,5.06
DAR,32.02,1.54,5.05
LGHL,4.37,0.21,5.05
ALC,95.92,4.61,5.04
TIGR,9.28,0.45,5.04
KGEI,8.26,0.39,4.96
MNSO,19.69,0.92,4.9
VERI,2.79,0.13,4.89
FINV,10.29,0.48,4.87
OPRT,5.98,0.28,4.86
EVGO,2.92,0.14,4.84
