,Unnamed: 0,Volume,Last,Chg,% Chg
0,TransCode Therapeutics Inc. (RNAZ),12.4M,10.11,3.95,64.12
1,Aurora Cannabis Inc. (ACB),53.9M,5.46,1.77,48.23
2,Pasithea Therapeutics Corp. (KTTA),54.0M,3.05,0.97,46.68
3,BigBear.ai Inc. (BBAI),93.7M,6.53,1.62,32.97
4,Canopy Growth Corp. (CGC),19.2M,2.68,0.61,29.53
5,Aviat Networks Inc. (AVNW),704.3K,25.93,5.38,26.18
6,Cumberland Pharmaceuticals Inc. (CPIX),45.6M,4.64,0.88,23.4
7,Children's Place Inc. (PLCE),801.9K,10.97,1.82,19.89
8,Criteo S.A. ADR (CRTO),608.2K,45.77,7.37,19.19
9,Mercury Systems Inc. (MRCY),1.2M,49.34,7.25,17.21
10,Valneva SE ADR (VALN),61.7K,6.55,0.94,16.74
11,Rapid Micro Biosystems Inc. (RPID),645.2K,2.67,0.38,16.6
12,SSR Mining Inc. (SSRM),3.2M,9.52,1.32,16.18
13,Neurogene Inc. (NGNE),155.0K,20.98,2.9,16.05
14,RADCOM Ltd. (RDCM),307.2K,14.99,2.07,16.02
15,Duos Technologies Group Inc. (DUOT),253.1K,7.39,0.97,15.11
16,Acrivon Therapeutics Inc. (ACRV),584.3K,6.78,0.87,14.72
17,Mattel Inc. (MAT),9.0M,20.62,2.55,14.11
18,Reborn Coffee Inc. (REBN),4.4M,5.06,0.59,13.21
19,Cyclerion Therapeutics Inc. (CYCN),223.6K,4.73,0.54,12.84
20,Aprea Therapeutics Inc. (APRE),125.1K,4.4,0.5,12.82
21,Skeena Resources Ltd. (SKE),313.0K,11.59,1.31,12.77
22,Quantum Biopharma Ltd. (QNTM),2.8M,7.54,0.83,12.44
23,Ampco-Pittsburgh Corp. (AP),59.6K,2.66,0.29,12.24
24,PetMed Express Inc. (PETS),217.1K,5.5,0.59,12.12
25,Arcturus Therapeutics Holdings Inc. (ARCT),123.8K,17.99,1.94,12.09
26,Embraer S/A ADR (ERJ),1.8M,44.5,4.65,11.67
27,Johnson Controls International PLC (JCI),4.7M,86.04,8.76,11.33
28,Ceragon Networks Ltd. (CRNT),3.1M,5.36,0.55,11.31
29,GRAIL Inc. (GRAL),350.0K,31.43,3.15,11.14
30,Ginkgo Bioworks Holdings Inc. (DNA),1.0M,15.86,1.57,11.02
31,Mueller Water Products Inc. (MWA),1.3M,25.58,2.5,10.85
32,908 Devices Inc. (MASS),181.1K,2.62,0.25,10.5
33,Zedge Inc. Cl B (ZDGE),104.3K,2.88,0.27,10.34
34,PicoCELA Inc. ADR (PCLA),932.4K,6.0,0.56,10.29
35,Intellia Therapeutics Inc. (NTLA),873.6K,10.61,0.99,10.29
36,Jayud Global Logistics Ltd. (JYD),80.8K,4.51,0.42,10.27
37,Champion Homes Inc. (SKY),227.7K,102.12,9.38,10.11
38,Aurora Mobile Ltd. ADR (JG),279.1K,9.7,0.89,10.1
39,Griffon Corp. (GFF),244.6K,81.56,7.25,9.76
40,Rekor Systems Inc. (REKR),5.6M,2.41,0.21,9.55
41,Kyverna Therapeutics Inc. (KYTX),210.5K,3.36,0.29,9.45
42,36Kr Holdings Inc. ADR (KRKR),174.5K,6.1,0.52,9.32
43,Teladoc Health Inc. (TDOC),3.5M,11.36,0.96,9.23
44,NOV Inc. (NOV),3.5M,15.92,1.34,9.22
