,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CRTO,Criteo S.A.,,45.63 +7.23 (+18.83%),7.23,+18.83%,623085,441008,2.518B,26.68,22.15%,
1,MRCY,"Mercury Systems, Inc.",,49.33 +7.24 (+17.21%),7.24,+17.21%,1.249M,485788,2.942B,-,56.68%,
2,MAT,"Mattel, Inc.",,20.62 +2.55 (+14.11%),2.55,+14.11%,9.274M,3.154M,6.946B,13.13,-5.48%,
3,ERJ,Embraer S.A.,,44.53 +4.68 (+11.74%),4.68,+11.74%,1.836M,1.07M,8.397B,16.43,134.10%,
4,JCI,Johnson Controls International plc,,86.07 +8.78 (+11.37%),8.78,+11.37%,4.815M,3.743M,56.821B,41.38,41.54%,
5,MWA,"Mueller Water Products, Inc.",,25.67 +2.59 (+11.22%),2.59,+11.22%,1.334M,1.177M,4.018B,34.69,66.98%,
6,SKY,"Champion Homes, Inc.",,102.12 +9.38 (+10.11%),9.38,+10.11%,249929,849998,5.862B,39.58,18.38%,
7,GFF,Griffon Corporation,,81.56 +7.25 (+9.76%),7.25,+9.76%,259872,424074,3.92B,19.28,8.85%,
8,NOV,NOV Inc.,,15.94 +1.36 (+9.29%),1.36,+9.29%,3.698M,3.927M,6.2B,5.90,-16.87%,
9,VWDRY,Vestas Wind Systems A/S,,5.04 +0.42 (+9.09%),0.42,+9.09%,135832,730467,15.272B,252.00,-53.69%,
10,SAN,"Banco Santander, S.A.",,5.55 +0.42 (+8.28%),0.42,+8.28%,3.815M,3.131M,84.493B,7.21,24.69%,
11,FNMA,Federal National Mortgage Association,,5.92 +0.45 (+8.23%),0.45,+8.23%,2.176M,21.864M,6.856B,-,316.13%,
12,GSK,GSK plc,,37.53 +2.69 (+7.72%),2.69,+7.72%,5.022M,5.091M,76.586B,24.85,-16.94%,
13,TEM,"Tempus AI, Inc.",,66.67 +4.82 (+7.78%),4.82,+7.78%,12.903M,5.679M,10.496B,-,52.89%,
14,BE,Bloom Energy Corporation,,24.91 +1.80 (+7.79%),1.8,+7.79%,2.018M,9.33M,5.694B,-,108.58%,
15,PCRFF,Panasonic Holdings Corporation,,11.30 +0.80 (+7.62%),0.8,+7.62%,17375,8320,26.381B,12.28,3.16%,
16,NMR,"Nomura Holdings, Inc.",,6.95 +0.49 (+7.59%),0.49,+7.59%,493608,532652,20.537B,12.19,17.70%,
17,SLAB,Silicon Laboratories Inc.,,146.95 +10.35 (+7.58%),10.35,+7.58%,265277,310377,4.768B,-,0.81%,
18,ATS,ATS Corporation,,28.67 +2.00 (+7.50%),2.0,+7.50%,95011,137828,2.777B,31.51,-39.77%,
19,SMCI,"Super Micro Computer, Inc.",,31.27 +2.11 (+7.24%),2.11,+7.24%,52.366M,69.744M,18.311B,15.56,-60.72%,
20,JANX,"Janux Therapeutics, Inc.",,44.30 +2.99 (+7.24%),2.99,+7.24%,182722,1.164M,2.597B,-,377.53%,
21,FI,"Fiserv, Inc.",,229.51 +15.29 (+7.14%),15.29,+7.14%,2.138M,2.687M,130.57B,44.31,51.79%,
22,RXRX,"Recursion Pharmaceuticals, Inc.",,8.15 +0.54 (+7.03%),0.54,+7.03%,13.645M,15.165M,3.182B,-,-20.59%,
23,PCRHY,Panasonic Holdings Corporation,,11.29 +0.73 (+6.91%),0.73,+6.91%,16434,163298,26.358B,12.27,30.57%,
24,SMR,NuScale Power Corporation,,24.28 +1.30 (+5.67%),1.3,+5.67%,7.81M,11.255M,2.936B,-,773.63%,
25,BNTX,BioNTech SE,,124.16 +7.02 (+5.99%),7.02,+5.99%,271514,840110,29.766B,-,26.06%,
26,VNET,"VNET Group, Inc.",,7.96 +0.42 (+5.57%),0.42,+5.57%,2.465M,3.415M,2.125B,-,354.09%,
27,LB,LandBridge Company LLC,,68.53 +3.42 (+5.25%),3.42,+5.25%,251076,616138,5.241B,-,180.73%,
28,MLTX,MoonLake Immunotherapeutics,,46.63 +2.52 (+5.71%),2.52,+5.71%,95872,320483,2.941B,-,-27.14%,
29,AMTM,"Amentum Holdings, Inc.",,21.80 +1.30 (+6.35%),1.3,+6.35%,2.111M,2.865M,5.304B,-,-30.87%,
30,IDYA,"IDEAYA Biosciences, Inc.",,25.50 +1.39 (+5.77%),1.39,+5.77%,212031,940815,2.204B,-,-45.67%,
31,EA,Electronic Arts Inc.,,128.10 +6.85 (+5.65%),6.85,+5.65%,2.797M,2.737M,33.598B,32.60,-10.12%,
32,MIRM,"Mirum Pharmaceuticals, Inc.",,52.85 +2.65 (+5.27%),2.65,+5.27%,190949,447861,2.537B,-,81.58%,
33,BEAM,Beam Therapeutics Inc.,,27.17 +1.42 (+5.51%),1.42,+5.51%,227125,1.166M,2.25B,-,-7.18%,
34,POWL,"Powell Industries, Inc.",,246.22 +13.08 (+5.61%),13.08,+5.61%,101548,500654,2.969B,20.03,78.50%,
35,OKLO,Oklo Inc.,,49.37 +2.48 (+5.29%),2.48,+5.29%,14.262M,18.194M,6.754B,-,332.08%,
36,CNK,"Cinemark Holdings, Inc.",,31.04 +1.57 (+5.33%),1.57,+5.33%,1.975M,2.311M,3.798B,18.93,101.87%,
37,HLNE,Hamilton Lane Incorporated,,170.07 +8.67 (+5.37%),8.67,+5.37%,231788,429755,9.428B,31.44,38.45%,
38,AMGN,Amgen Inc.,,304.70 +15.68 (+5.43%),15.68,+5.43%,2.39M,3.823M,163.787B,40.25,-2.37%,
